"code","cont","reg","year","def","eco","edu","amb","pub","sal","viv","seg","cul","soc"
"YEM","Asia","Middle East & North Africa",2004,5.30132748713668,7.47851561738099,5.55414688569099,0.557638219770703,5.62982496518418,1.79555995927427,2.72733656070435,2.58011538956657,0.515079052385615,0.109070056836578
"YEM","Asia","Middle East & North Africa",2005,4.86675865146995,10.9827299414898,5.1502555243087,0.65261005061242,5.38095515631755,1.49350117079596,3.00280411319803,2.2985811754461,0.458937055029748,0.0958079801128315
"YEM","Asia","Middle East & North Africa",2006,5.61744288853383,9.59652477439578,5.14441578281622,0.763954998973261,6.87096737823294,1.47009143684059,2.83201907974474,2.56071864651494,0.508133131780092,0.0989883553064745
"YEM","Asia","Middle East & North Africa",2007,6.33160991222952,10.9890935728776,6.8683592269697,6.52918985982162,9.66605293943605,1.37711807710292,2.08216725459061,2.69551686988679,0.471053989936476,0.0973393985905391
"YEM","Asia","Middle East & North Africa",2008,5.52726357233569,15.3882250102083,6.28361277851122,5.91613413995347,8.42514452791264,1.30532530355776,1.89397917164027,2.46382662289132,0.419842559728934,0.0952970063576131
"YEM","Asia","Middle East & North Africa",2009,5.65309921835268,9.73088637817304,6.47612918824951,6.4931034815353,6.51022921067492,1.46708451252628,2.02405324303261,2.54665281265393,0.458608586284056,0.939894541279908
"YEM","Asia","Middle East & North Africa",2010,4.68492345243046,9.8197045834972,5.39269201979572,4.79599178237577,5.64108651095275,1.13374272322126,1.61326086195039,2.02444059337169,0.353420663580286,0.733613833861372
"YEM","Asia","Middle East & North Africa",2011,3.58997138291118,3.97638491657243,4.0120761885368,5.21850498205675,4.02597825021908,1.54245272059982,0.478425603406831,1.86745341429575,0.475924498684017,4.54244922946666
"YEM","Asia","Middle East & North Africa",2012,4.06523407382803,5.12794379149127,4.14821717494033,5.65811893089133,8.08176352978318,1.60370664089919,0.433148159112557,2.20341273003659,0.469567877429955,7.05807023130904
"ZAF","Africa","Sub-Saharan Africa",1996,1.99697137301433,3.53633958440683,7.35222049412947,0.687980510895651,8.76253326841167,3.32755026307454,0.921036666556363,3.05226351260851,0.580670678573173,3.26940440679408
"ZAF","Africa","Sub-Saharan Africa",1997,1.71578841074814,3.42816344932636,7.22767334597229,0.752790787308513,9.0691734092619,3.47168394449288,1.13323956041455,3.04913691462445,0.407897974305841,3.71104666790876
"ZAF","Africa","Sub-Saharan Africa",1998,1.5715714927172,2.92099603759167,6.67215469410155,0.721452410399418,9.27081446003324,3.26340693592137,0.963424529119368,3.23662326135877,0.48578233275302,3.59085048670138
"ZAF","Africa","Sub-Saharan Africa",1999,1.43239976376245,3.09073462449371,6.4032114889075,0.608563251644498,9.33860674954148,3.07420278813014,0.713624269694149,3.06857238009327,0.511648355860955,3.58896583779873
"ZAF","Africa","Sub-Saharan Africa",2000,1.57261149458325,3.10908314699828,6.22313288049336,0.60750863340674,11.297515438687,3.15040091976955,0.835337579940908,2.98491848457822,0.476686631639903,3.55628727581674
"ZAF","Africa","Sub-Saharan Africa",2001,1.77956380765937,5.72214723785636,5.88802306374648,0.617199926587544,7.48013657775603,3.5224500642359,0.836529196745381,3.04407423834577,0.415917885109507,3.71971736204576
"ZAF","Africa","Sub-Saharan Africa",2002,1.6983976373263,5.91185978402402,5.50668917614488,0.826032129404854,6.86218695189626,3.50038816527215,0.981133935502951,3.12520281122024,0.522318476256197,4.22693497307488
"ZAF","Africa","Sub-Saharan Africa",2003,1.17366111365052,4.58341064712777,6.15289575988523,0.759560887818816,9.06374126354123,3.40073587646689,0.824610074477698,3.07570868463967,0.434903293643071,4.71691837021013
"ZAF","Africa","Sub-Saharan Africa",2004,1.55720180438744,6.00464709001553,6.03789863763466,0.928943948455361,6.79530252474735,3.5444388987575,1.50112791145743,3.1716964993773,0.612207719912259,4.79953244667055
"ZAF","Africa","Sub-Saharan Africa",2005,1.68985404336363,5.05394527022658,6.32153406366555,0.202531151365194,7.50609728571655,3.69137424706604,1.77745486666496,3.24611073085684,0.606922417148288,4.85983258238199
"ZAF","Africa","Sub-Saharan Africa",2006,1.49480078407495,6.03539197564423,6.50315320213113,0.219582472545395,4.76312928128738,3.79683592475807,2.00570838316842,3.41692943351093,0.840708926823964,4.73953463085789
"ZAF","Africa","Sub-Saharan Africa",2007,1.49480078407495,5.91185978402402,6.4032114889075,0.391357928011333,17.1075448138945,3.69137424706604,1.77745486666496,3.24611073085684,0.612207719912259,4.73953463085789
"ZAF","Africa","Sub-Saharan Africa",2008,1.70767936521739,7.87872673711083,6.72641462046387,0.275425347489704,3.69897296948203,4.1197300367276,2.38216543840328,3.70268751822978,1.20043240724286,4.57775922379439
"ZAF","Africa","Sub-Saharan Africa",2012,1.31971758395895,7.47112339467192,7.90969478636398,0.339380432791657,21.5037958630817,4.86772671283144,3.00613248543572,4.00162619565979,1.28260157499481,4.99090115346365
"ZAF","Africa","Sub-Saharan Africa",2013,1.34736378230706,5.21119809535486,8.01538932597585,0.367711598126203,24.9247206659323,4.90798174677406,3.06155590841409,4.05165268022928,1.49064485447222,5.13260840395291
"ZAF","Africa","Sub-Saharan Africa",2014,1.28148561406588,5.95246070728335,8.11347492700407,0.391357928011333,24.5564708922243,4.93700246679083,2.98309192791515,3.83797680580677,1.25433048429986,5.17022133843703
"ZAF","Africa","Sub-Saharan Africa",2015,1.31076070592657,7.07762224242034,8.2724343743522,0.349643730448509,24.8278535854801,5.14322364374477,2.97404204022684,3.82729508482097,1.03842888794565,5.17402082973755
"ZAF","Africa","Sub-Saharan Africa",2016,0.979293700935523,6.67395715812583,5.54365963533422,0.292218964639165,10.7319901148872,4.24635127756902,2.7419228916326,3.58646939936592,0.885626717686841,6.06961129234285
"ZAF","Africa","Sub-Saharan Africa",2017,0.906592733591228,6.95452002738538,5.59090231215637,0.306667256893513,11.4896575385306,4.3215358805633,2.60181099360535,3.56643855545131,0.864796936894579,5.40758321381956
"ZAF","Africa","Sub-Saharan Africa",2018,0.916886042897953,6.79559952689477,5.66662269057502,0.308077361107583,11.8320255929638,4.36342671017592,2.47831119609582,3.54804387874267,0.826634836116471,5.54505011479739
"LUX","Europe","Europe & Central Asia",1995,0.61918418828936,5.91524381195513,4.66826137927253,1.37407789017839,5.06614589065751,4.2235068536133,1.03401166606804,0.774442768397301,1.2295752754288,17.6498163415724
"LUX","Europe","Europe & Central Asia",1996,0.61277018034646,6.63555053590921,4.76169952738938,1.44340095253363,4.79727805355355,4.44447405546993,0.96153995795577,0.797443599983399,1.23202302315321,17.8851963375141
"LUX","Europe","Europe & Central Asia",1997,0.627893623408375,5.61446699401525,4.89047847384952,1.34894706322484,6.00500353753617,4.36727751894927,0.898543423432233,0.814695317238252,1.20719061500474,18.2166280550621
"LUX","Europe","Europe & Central Asia",1998,0.590479287430853,5.70012798691934,5.05103575051788,1.34298854010775,6.12442313720303,4.17703710768544,0.918118019754655,0.778084452262089,1.19468115101709,17.8729851362587
"LUX","Europe","Europe & Central Asia",1999,0.257154242295087,5.24857355788538,4.79285647758701,1.24240077479611,6.01645902988654,4.22560462071217,0.851578121127591,0.936419522526658,1.24431536191718,16.5965128063866
"LUX","Europe","Europe & Central Asia",2000,0.239850256072515,5.11427073494112,4.31132525108972,1.10095583074083,5.3350433720114,3.67471424733745,0.75829527630701,0.891136684662513,1.03504423858506,15.3518722323804
"LUX","Europe","Europe & Central Asia",2001,0.28611511911122,3.91436107336814,4.49221139244234,1.22964087851623,5.14327840854118,4.38055855863435,0.795864024331248,0.949402445744766,1.08465457115334,15.9534744803739
"LUX","Europe","Europe & Central Asia",2002,0.25747269343726,5.83873088739853,4.6849215172925,1.14055956038526,5.1613767050413,4.24933950196655,1.02968355867972,1.00038653580238,1.17148242457571,16.8253057418499
"LUX","Europe","Europe & Central Asia",2003,0.265077631568899,6.27274914273058,4.98185032725162,1.15529750494505,5.31987413986666,4.52626795683486,0.824746637747348,1.06250620517951,1.31568516637518,17.7767891919138
"LUX","Europe","Europe & Central Asia",2004,0.261626741505463,6.08345623505491,5.04541516917482,1.09705894987042,5.60632669425393,4.87140065006658,0.768109509013588,1.07766792193474,1.30700253440055,17.7065250075173
"LUX","Europe","Europe & Central Asia",2005,0.247241184109753,5.50019979354667,5.01602344244281,1.14720122540042,5.350164829676,5.07129632712863,0.741916686091039,1.06496953148413,1.63550331324298,17.8042522726516
"LUX","Europe","Europe & Central Asia",2006,0.228698278233452,4.88451356619528,4.62863261388476,1.01763768068788,4.79080580804122,4.54680063771322,0.773242073691963,0.967451779592585,1.14132920022598,16.6811995870836
"LUX","Europe","Europe & Central Asia",2007,0.239210950297077,4.60147287843373,4.47945474449217,1.08274854823569,4.63792904039657,4.29252882683458,0.607914704308089,0.891941396867578,1.24367584839788,15.7287870270503
"LUX","Europe","Europe & Central Asia",2008,0.265819531321715,4.51250377014569,4.84560630499495,1.13459747957565,4.9076202840395,4.40246797015356,0.677162752271923,0.939048218524201,1.18127647297953,16.8296602279135
"LUX","Europe","Europe & Central Asia",2009,0.317748618037451,5.41703897621185,5.50511407275992,1.28558215510434,5.10441254421739,5.0723136919765,0.852084031977153,1.02598414123603,1.35841239276944,19.204900963858
"LUX","Europe","Europe & Central Asia",2010,0.530419784059854,5.16111384894145,5.73801701437112,1.14675517325488,5.08554973144373,4.8632752415513,0.803525827695892,1.0438923982896,1.22499987555317,18.5282842763914
"LUX","Europe","Europe & Central Asia",2011,0.417468440647103,4.7312711544387,5.57039664355364,1.08855152474128,5.05840420528812,4.6563140714519,0.787560205445654,1.01663396247397,1.11168385277785,17.9277048143506
"LUX","Europe","Europe & Central Asia",2012,0.377600199492202,4.86092446499819,5.78763375045339,1.13357816467174,5.38866294885745,4.85573993471164,0.755925825172289,1.02566195139645,1.18572497279652,18.6985015415306
"LUX","Europe","Europe & Central Asia",2013,0.345641019023901,5.1610751966692,5.11864454165,1.01187327148307,5.06234919160247,5.19598102341105,0.522675561405093,1.01964756534493,1.2684292700551,18.6157735368628
"LUX","Europe","Europe & Central Asia",2014,0.300696648021146,5.32456251266952,4.70067216197719,0.907097540758224,4.89650632321979,4.96471400501362,0.578015145220304,0.992780631137818,1.1914728355441,18.1094807152333
"LUX","Europe","Europe & Central Asia",2015,0.274917214049183,5.47298696363622,4.69046972787269,0.818985707306102,4.8056779141818,4.76644474086253,0.525886604573972,1.0197678115815,1.1439583704933,18.371107897043
"LUX","Europe","Europe & Central Asia",2016,0.362178489015628,5.56604318706264,4.58659362512429,0.749863985141549,5.01935913550832,4.73005084141606,0.519188413410127,1.01832354651708,1.21652252218449,18.0828715081703
"LUX","Europe","Europe & Central Asia",2017,0.375890834061191,5.69646632055017,4.67446242538332,0.869725294895234,5.0036293406969,4.8878611483328,0.539929076859924,1.06612380265211,1.25995084928742,18.5867795794883
"LUX","Europe","Europe & Central Asia",2018,0.491744409640355,5.35377243108451,4.69015716197944,0.889047243719976,5.18973928641802,4.83747188682707,0.58975491428455,1.11979948767777,1.27833060411896,18.347064339247
"RUS","Europe","Europe & Central Asia",2000,2.67019849631353,4.79999132144968,2.73635967996569,0.0656900158372501,8.32170875550865,1.85615047585257,2.72377578199482,1.49448465364289,0.588112172815462,7.52392025433257
"RUS","Europe","Europe & Central Asia",2001,2.89246445314821,5.38765068122561,2.83274970366764,0.0766987627358409,8.84375648308482,1.77667017296219,2.18926281266061,1.72965314779505,0.57635992314645,8.86846387768484
"RUS","Europe","Europe & Central Asia",2002,2.71311309587862,5.05633918002798,3.51622081136339,0.163882492198429,12.6415151189067,2.06169805229743,1.91027224792855,2.17383406865383,0.678342838695792,9.38562789196169
"RUS","Europe","Europe & Central Asia",2003,2.69821221597727,4.79193381894582,3.40020009080599,0.134955736258074,8.36133616995616,1.69172470617301,1.79354876645608,2.48354096550291,0.708757569329051,9.81118117779572
"RUS","Europe","Europe & Central Asia",2004,2.44726725012156,4.11022078052926,3.2206781094353,0.104654467520293,6.12729972380531,1.57886019259159,1.5975208295916,2.47533900215086,0.900963404751162,9.12248091880183
"RUS","Europe","Europe & Central Asia",2005,2.51004663592696,3.27997519998999,3.3231538813008,0.0939242132749086,3.25950656264009,3.65566471836154,2.03866135172135,2.73063987736335,0.783603948845018,8.15376135642421
"RUS","Europe","Europe & Central Asia",2006,2.36682988198064,1.99689364402435,3.58990559005523,0.0807070631496399,4.32181127432643,3.75720821452422,2.18775026117221,2.47351561352609,0.653276914593223,7.68171905351744
"RUS","Europe","Europe & Central Asia",2008,2.06048082704746,3.7516472326717,3.75639072065328,0.0573736165391421,12.5978005575631,3.87226735563194,1.86035081030069,2.25202738935137,0.642855561694482,8.47232129586671
"RUS","Europe","Europe & Central Asia",2009,3.43397154798527,4.41637619779369,4.46610908175317,0.0646287235995268,10.9393124272627,4.71741631180933,1.81296783747966,2.83477438569077,0.787076946141449,11.0707321737643
"RUS","Europe","Europe & Central Asia",2010,3.25098720524024,3.65003697552488,3.84372309006263,0.0531529461933128,7.32463705497243,4.18539183888859,1.3884193823829,2.54590532050925,0.678505411634334,12.4146356637343
"RUS","Europe","Europe & Central Asia",2011,2.92712823360923,3.85990731702291,3.76435271645942,0.0516825752612961,8.94640334145298,3.67577775628492,1.55230525889314,2.30776824004379,0.862650315695782,11.1371795140243
"RUS","Europe","Europe & Central Asia",2012,2.791202011335,3.45505307942683,3.63185468113471,0.0546718169869744,9.1097649890796,3.2016815404872,1.18396816571792,2.63130164337309,0.828013486302726,11.3251493150518
"RUS","Europe","Europe & Central Asia",2013,2.26605542665003,3.65146826501904,3.86871809314374,0.0636955675144935,8.72588181034035,3.13121930712647,1.2436388332561,2.73137551879355,1.12556231885289,11.8716209672658
"RUS","Europe","Europe & Central Asia",2014,2.42356117256936,5.21205312036024,3.69477994149494,0.0811025936786177,10.1617805703614,3.1427563702134,1.10019333678948,2.59268195286017,0.896401777273614,11.0068900735735
"RUS","Europe","Europe & Central Asia",2015,2.11626139394241,2.622657098114,0.868863471761276,0.0484270928858177,15.2740068650188,2.72639155797026,0.80194220753314,2.33637393026664,0.365457812243932,12.405399373252
"RUS","Europe","Europe & Central Asia",2016,2.3055693129739,3.46294332796213,3.6117385268944,0.104066537850727,7.82089585208024,3.60752991947841,1.04229185413571,2.25305589077152,0.857935085137105,12.5792101769243
